NAME,PARTY,PC_NAME,AGE,PENDING_CRIMINAL_CASES,CONVICTED_CRIMINAL_CASES,MOVABLE_ASSETS,IMMOVABLE_ASSETS,LIABLITIES,EDUCATION,INCOME_TAX_COMPLIANCE,GOVERNMENT_DUES,LOCAL_RESIDENT,POINTS_FROM_AGE,POINTS_FROM_CRIMINAL_CASES,POINTS_FROM_EDUCATION,POINTS_FROM_INCOME_TAX_COMPLIANCE,POINTS_FROM_GOVT_DUE_COMPLIANCE,POINTS_FROM_LOCAL_RESIDENCY,POINTS_FROM_EARNINGS,POINTS_EARNED
VALLURU VENKATESWARA RAO,Pyramid Party of India,11-Machilipatnam,65,0,0,487056,14875000,600000,GRADUATE,NO,NO,YES,1.0,0.0,3.0,0.0,1.0,1.0,0.0,9.0
BALASHOWRY VALLABHANENI,Yuvajana Sramika Rythu Congress Party,11-Machilipatnam,50,2,0,381004967,341006094,583048648,POST GRADUATE,YES,NO,YES,2.0,-2.0,4.0,1.0,1.0,1.0,1.0,10.0
KONAKALLA NARAYANA RAO,Telugu Desam,11-Machilipatnam,68,0,0,5333984,19785000,5409408,INTERMIDIATE,YES,YES,YES,1.0,0.0,2.0,1.0,0.0,1.0,0.0,7.0
GOLLU VENKATA SYMALA KUMARI,Indian National Congress,11-Machilipatnam,50,0,0,56000,2700000,1200000,GRADUATE,YES,NO,YES,2.0,0.0,3.0,1.0,1.0,1.0,0.0,11.0
PULI SIVA RAMA KRISHNA,Indian National Congress,11-Machilipatnam,41,0,0,6231600,2100000,1500000,POST GRADUATE,YES,NO,YES,3.0,0.0,4.0,1.0,1.0,1.0,1.0,15.0
VIJAYA LAKSHMI CHALAPAKA,Independent,11-Machilipatnam,39,0,0,158274,450000,0,GRADUATE,NO,NO,YES,4.0,0.0,3.0,0.0,1.0,1.0,0.0,12.0
BANDREDDI RAMAKRISHNA,Janasena Party,11-Machilipatnam,44,0,0,41300000,56000000,37600000,POST GRADUATE,YES,NO,YES,3.0,0.0,4.0,1.0,1.0,1.0,0.0,14.0
BANDREDDI RAMA RAO,Independent,11-Machilipatnam,68,0,0,100000,0,0,INTERMIDIATE,YES,NO,YES,1.0,0.0,2.0,1.0,1.0,1.0,0.0,8.0
GOLLU KRISHNA,Indian National Congress,11-Machilipatnam,55,5,0,2095000,4000000,3500000,GRADUATE,YES,NO,YES,2.0,-5.0,3.0,1.0,1.0,1.0,0.0,1.0
NADAKUDITI NAGA GAYATHRI,Independent,11-Machilipatnam,38,0,0,921500,8000000,3640000,POST GRADUATE,NO,NO,YES,4.0,0.0,4.0,0.0,1.0,1.0,1.0,15.0
GUDIVAKA VENKATA NAGA BASAVA RAO,Independent,11-Machilipatnam,26,0,0,1371700,0,800000,INTERMIDIATE,YES,NO,YES,5.0,0.0,2.0,1.0,1.0,1.0,0.0,12.0
BAVISETTY SURENDRA BABU,Praja Shanthi Party,11-Machilipatnam,35,0,0,141000,1000000,430000,SSC,NO,NO,YES,4.0,0.0,1.0,0.0,1.0,1.0,0.0,8.0
YARLAGADDA RAMA MOHANA RAO,Bahujan Maha Party,11-Machilipatnam,56,0,0,1186000,7730000,0,INTERMIDIATE,NO,NO,YES,2.0,0.0,2.0,0.0,1.0,1.0,0.0,8.0
