CANDIDATE_NAME,CONSTITUENCY_CODE,CONSTITUENCY_NAME,EVM_VOTES,PARTY,POSTAL VOTES,STATE_CODE,STATE_NAME,TOTAL_VOTES,VOTING_PERCENTAGE
SONDARVA BALUBEN MAHESHBHAI,1,KACHCHH,1682,Rashtriya Power Party,17,S06,GUJARAT,1699,0.17
BABULAL AMARSHI VAGHELA,1,KACHCHH,2133,Independent,8,S06,GUJARAT,2141,0.21
MARU MANISHA BHARAT,1,KACHCHH,4962,Independent,22,S06,GUJARAT,4984,0.49
MEGHVAL BHIMJIBHAI BHIKHABHAI,1,KACHCHH,5750,Independent,11,S06,GUJARAT,5761,0.56
CHAUHAN DEVUSINH,17,KHEDA,711757,Bharatiya Janata Party,2815,S06,GUJARAT,714572,65.04
BIMAL SHAH,17,KHEDA,345804,Indian National Congress,1623,S06,GUJARAT,347427,31.62
BHAILALBHAI KALUBHAI PANDAV,17,KHEDA,7400,Bahujan Samaj Party,61,S06,GUJARAT,7461,0.68
CHAUHAN PARSOTTAMBHAI BABARBHAI,17,KHEDA,2093,Yuva Jan Jagriti Party,7,S06,GUJARAT,2100,0.19
PATEL KAMLESHKUMAR RATILAL,17,KHEDA,1759,Hindusthan Nirman Dal,5,S06,GUJARAT,1764,0.16
PATHAN AYASHABANU,17,KHEDA,2171,Ambedkar National Congress,5,S06,GUJARAT,2176,0.2
PATHAN IMTIYAZKHAN SAEEDKHAN,17,KHEDA,4853,Apna Desh Party,3,S06,GUJARAT,4856,0.44
CHAUHAN PRAHLADBHAI NATTHUBHAI,4,MAHESANA,9449,Bahujan Samaj Party,63,S06,GUJARAT,9512,0.88
A. J. PATEL,4,MAHESANA,376193,Indian National Congress,1813,S06,GUJARAT,378006,34.94
SHARDABEN ANILBHAI PATEL,4,MAHESANA,656686,Bharatiya Janata Party,2839,S06,GUJARAT,659525,60.96
CHAUDHARI SENDHABHAI ABHERAJBHAI,4,MAHESANA,4556,Bahujan Mukti Party,29,S06,GUJARAT,4585,0.42
PRAJAPATI KANUBHAI AMATHARAM,4,MAHESANA,987,Bharatiya Rashtravadi Paksha,5,S06,GUJARAT,992,0.09
BAROT KULDIPKUMAR BHARATKUMAR,4,MAHESANA,913,Yuva Jan Jagriti Party,6,S06,GUJARAT,919,0.08
THAKOR JAYANTIJI CHUNTHAJI,4,MAHESANA,1467,Independent,16,S06,GUJARAT,1483,0.14
THAKOR BIPINKUMAR SHANKARJI,4,MAHESANA,2101,Independent,10,S06,GUJARAT,2111,0.2
THAKOR MAYURKUMAR RUPSINGJI,4,MAHESANA,1392,Independent,5,S06,GUJARAT,1397,0.13
PATEL ANITABEN RAMABHAI,4,MAHESANA,2114,Independent,5,S06,GUJARAT,2119,0.2
PATEL AMBALAL TALASHIBHAI,4,MAHESANA,3999,Independent,2,S06,GUJARAT,4001,0.37
RATHOD GULABSINH DURSINH,4,MAHESANA,5211,Independent,10,S06,GUJARAT,5221,0.48
PATEL DHARMESHBHAI BHIMBHAI,25,NAVSARI,281663,Indian National Congress,1408,S06,GUJARAT,283071,21.64
C. R. PATIL,25,NAVSARI,969430,Bharatiya Janata Party,3309,S06,GUJARAT,972739,74.37
VINEETA ANIRUDDH SINH,25,NAVSARI,9331,Bahujan Samaj Party,35,S06,GUJARAT,9366,0.72
AMRUTHAM NARSAIAH PAPAIAH,25,NAVSARI,826,Pyramid Party of India,3,S06,GUJARAT,829,0.06
DR. KANUBHAI KHADADIYA,25,NAVSARI,725,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),0,S06,GUJARAT,725,0.06
JAVADKHAN PATHAN,25,NAVSARI,573,Yuva Sarkar,1,S06,GUJARAT,574,0.04
JITENDRABHAI PREMNATH MISHRA,25,NAVSARI,540,Sanyukt Vikas Party,0,S06,GUJARAT,540,0.04
PASVAN VIRENDRA,25,NAVSARI,495,Bharatiya Bahujan Congress,2,S06,GUJARAT,497,0.04
SHARMA RAJMAL MOHANLAL (GABBAR),25,NAVSARI,569,Svatantra Bharat Satyagrah Party,1,S06,GUJARAT,570,0.04
SHRIPRAKASH SHUKLA,25,NAVSARI,613,Bhartiya Shakti Chetna Party,0,S06,GUJARAT,613,0.05
SACHIN G. KINDA,25,NAVSARI,808,Rashtriya Nav Nirman Bharat Party,3,S06,GUJARAT,811,0.06
HIRAMANIBEN,25,NAVSARI,3013,Rashtriya Samaj Paksha,3,S06,GUJARAT,3016,0.23
ANISHBHAI GAFFARBHAI BHIMANI (GANIBHAI),25,NAVSARI,1049,Independent,0,S06,GUJARAT,1049,0.08
KHAN HEENABEGUM KAMRUDDIN,25,NAVSARI,1745,Independent,0,S06,GUJARAT,1745,0.13
GOVINDBHAI LAXMANBHAI RATHOD,25,NAVSARI,4189,Independent,6,S06,GUJARAT,4195,0.32
CHANDANSINH SHIVVADANSINH THAKUR,25,NAVSARI,5982,Independent,2,S06,GUJARAT,5984,0.46
CHAUHAN NILESHKUMAR,25,NAVSARI,2914,Independent,3,S06,GUJARAT,2917,0.22
JAVID AHMAD SHEKH,25,NAVSARI,2480,Independent,0,S06,GUJARAT,2480,0.19
JAIN RAJENDRAKUMAR ANILKUMAR,25,NAVSARI,2104,Independent,0,S06,GUJARAT,2104,0.16
PATEL NAVINKUMAR SHANKARBHAI,25,NAVSARI,596,Independent,1,S06,GUJARAT,597,0.05
RAMJAN MANSURI - PATRAKAR,25,NAVSARI,577,Independent,0,S06,GUJARAT,577,0.04
SHAIKH SAEED INAYAT PATRAKAR,25,NAVSARI,1029,Independent,0,S06,GUJARAT,1029,0.08
SHEKH HAMID RAMJAN,25,NAVSARI,662,Independent,1,S06,GUJARAT,663,0.05
SAIYAD MEHMUD AHMAD,25,NAVSARI,795,Independent,2,S06,GUJARAT,797,0.06
SOHILKHAN HASHIMKHAN (SOHIL PANCHAR),25,NAVSARI,1495,Independent,2,S06,GUJARAT,1497,0.11
KHANT VECHATBHAI KUBERBHAI,18,PANCHMAHAL,301046,Indian National Congress,2549,S06,GUJARAT,303595,28.02
RATANSINH MAGANSINH RATHOD,18,PANCHMAHAL,727301,Bharatiya Janata Party,4835,S06,GUJARAT,732136,67.56
VIRENDRA PARSOTTAMDAS PATEL,18,PANCHMAHAL,9809,Nationalist Congress Party,17,S06,GUJARAT,9826,0.91
SHAIKH KALIM ABDUL LATIF,18,PANCHMAHAL,3892,Bahujan Samaj Party,13,S06,GUJARAT,3905,0.36
RATHOD VIJAYSINH MOHANSINH,18,PANCHMAHAL,4827,Hindusthan Nirman Dal,42,S06,GUJARAT,4869,0.45
LALABHAI GADHVI,18,PANCHMAHAL,9196,Independent,16,S06,GUJARAT,9212,0.85
CHAUDHARI KIRTIBHAI JESHANGBHAI,3,PATAN,9184,Nationalist Congress Party,31,S06,GUJARAT,9215,0.82
JAGDISH THAKOR,3,PATAN,437358,Indian National Congress,2131,S06,GUJARAT,439489,39.02
DABHI BHARATSINHJI SHANKARJI,3,PATAN,629813,Bharatiya Janata Party,3555,S06,GUJARAT,633368,56.24
SURAJKUMAR MAHENDRABHAI PARMAR,3,PATAN,6588,Bahujan Samaj Party,63,S06,GUJARAT,6651,0.59
PRAJAPATI JAYANTIBHAI DEVABHAI,3,PATAN,2771,Hindusthan Nirman Dal,17,S06,GUJARAT,2788,0.25
UMEDBHAI HARIBHAI NAI,3,PATAN,1036,Independent,5,S06,GUJARAT,1041,0.09
CHAUDHARI SHAILESHKUMAR KANJIBHAI,3,PATAN,1217,Independent,5,S06,GUJARAT,1222,0.11
PRAVINKUMAR TULSIDAS PANDYA,3,PATAN,1372,Independent,4,S06,GUJARAT,1376,0.12
BHORANIYA SHOYABBHAI HASAMBHAI,3,PATAN,1783,Independent,1,S06,GUJARAT,1784,0.16
MAKWANA VAGHABHAI MAGANBHAI,3,PATAN,2039,Independent,5,S06,GUJARAT,2044,0.18
MOLAPIYA ABDULKUDUS ABDULMAJID,3,PATAN,5645,Independent,2,S06,GUJARAT,5647,0.5
RATHOD GOVINDBHAI BHIKHABHAI,3,PATAN,7299,Independent,5,S06,GUJARAT,7304,0.65
RAMESHBHAI LAVJIBHAI DHADUK,11,PORBANDAR,560011,Bharatiya Janata Party,3870,S06,GUJARAT,563881,59.36
LALIT VASOYA,11,PORBANDAR,331883,Indian National Congress,2175,S06,GUJARAT,334058,35.17
SAMATBHAI GOVABHAI KADAVALA,11,PORBANDAR,9874,Bahujan Samaj Party,218,S06,GUJARAT,10092,1.06
BHARGAV SURESHCHANDRA JOSHI,11,PORBANDAR,1514,Gujarat Janta Panchayat Party,10,S06,GUJARAT,1524,0.16
VAKIL VINZUDA RANJITBHAI NARANBHAI,11,PORBANDAR,707,Bahujan Maha Party,6,S06,GUJARAT,713,0.08
ALPESHKUMAR V.VADOLIYA(1008),11,PORBANDAR,645,Independent,3,S06,GUJARAT,648,0.07
ATROLIYA KARABHAI GAGANBHAI,11,PORBANDAR,742,Independent,38,S06,GUJARAT,780,0.08
UNADKAT PRAKASHBHAI VALLABHDAS,11,PORBANDAR,604,Independent,1,S06,GUJARAT,605,0.06
KIRTIKUMAR BAVANJIBHAI MARVANIA,11,PORBANDAR,683,Independent,2,S06,GUJARAT,685,0.07
BHANUBHAI NAGABHAI ODEDRA,11,PORBANDAR,792,Independent,23,S06,GUJARAT,815,0.09
RABARI DASABHAI KARABHAI,11,PORBANDAR,3867,Independent,62,S06,GUJARAT,3929,0.41
